pdf_path,pdf_filename,doi,study_domain,study_goal,paper_processing_status,paper_processing_error,equipment_name,aliases,manufacturer,model,equipment_type,equipment_role,short_description,typical_applications,measurement_outputs,paper_specific_use,sample_context,shared_or_local,contact_person,used_in_study,certainty,confidence_score,evidence_text,location_type,notes
data/interim/pdfs/Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,10.1016/j.matdes.2020.108720,materials science / steel microstructure,"To quantify precipitate evolution, microstructure changes, and hardness during annealing of cold-rolled Ti-V HSLA steel using complementary experimental techniques.",equipment_extracted,,vacuum filtration setup,vacuum filtration,,,other,supporting,Filtration apparatus used to separate precipitates from dissolved matrix solution.,solid-liquid separation | sample purification,filtered solution | separated precipitate fractions,Used with 20 nm pore size filters during matrix dissolution to separate precipitates from solution.,acid-dissolved steel matrix solution,,,True,explicit,0.91,vacuum ﬁltration with a 20 nm pore size ﬁlter was ﬁrst conducted | a ﬁltering procedure with 20 nm ﬁlter paper was added between chemical dissolution and centrifuging,main_text,Generic apparatus retained because it is central to the custom matrix dissolution workflow.
data/interim/pdfs/Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,10.1016/j.matdes.2020.108720,materials science / steel microstructure,"To quantify precipitate evolution, microstructure changes, and hardness during annealing of cold-rolled Ti-V HSLA steel using complementary experimental techniques.",equipment_extracted,,centrifuge,Beckman Coulter Avanti-20 XP,Beckman Coulter,Avanti-20 XP,other,primary,High-speed centrifuge used to separate precipitate sediments from the dissolved matrix solution.,centrifugation | particle separation | sample fractionation,sediment fraction | supernatant fraction,Used after filtration in the matrix dissolution method to isolate precipitates and obtain supernatant for ICP-OES analysis.,steel matrix dissolution solutions,,,True,explicit,0.99,"followed by centrifuging performed with a Beckman Coulter Avanti-20 XP | The solution after ﬁltering was quickly rotated up to 21,500 rpm at 4 °C and held for 50 min",main_text,
data/interim/pdfs/Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,10.1016/j.matdes.2020.108720,materials science / steel microstructure,"To quantify precipitate evolution, microstructure changes, and hardness during annealing of cold-rolled Ti-V HSLA steel using complementary experimental techniques.",equipment_extracted,,inductively coupled plasma optical emission spectrometer,ICP-OES,,,spectroscopy,primary,Elemental analysis instrument used to measure Ti and V concentrations in solution.,elemental analysis | trace metal quantification | solution composition analysis,element concentrations | Ti and V concentration data,Used in matrix dissolution to determine Ti and V concentrations in the supernatant and thereby infer precipitate composition and volume fractions.,supernatant from dissolved steel samples,,,True,explicit,0.99,"ICP-OES measurements were conducted on the supernatant obtained after ﬁltering of the CR sample and after both ﬁltering and centrifuging for all samples to determine the Ti and V concentrations. | the matrix dissolution refers to the whole process, i.e., chemical dissolution, ﬁltering, centrifuging and ICP-OES measurements",main_text,
data/interim/pdfs/Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,10.1016/j.matdes.2020.108720,materials science / steel microstructure,"To quantify precipitate evolution, microstructure changes, and hardness during annealing of cold-rolled Ti-V HSLA steel using complementary experimental techniques.",equipment_extracted,,small-angle neutron scattering instrument,Larmor Instrument | SANS | ISIS Neutron and Muon Source,,Larmor Instrument,beamline,primary,Neutron scattering instrument used to measure precipitate size distribution and volume fraction.,small-angle neutron scattering | nanoparticle characterization | size distribution analysis,scattering patterns | scattering intensity vs Q | precipitate size distribution | precipitate volume fraction,"Used at room temperature to characterize annealing-induced (Ti,V)C precipitates in the steel samples.",annealed cold-rolled Ti-V HSLA steel samples,facility-based at ISIS Neutron and Muon Source,,True,explicit,0.99,SANS experiments were performed at room temperature on the Larmor Instrument at ISIS Neutron and Muon Source | The initial output of SANS measurements is a 2D scattering pattern.,main_text,Facility-level instrument at STFC Rutherford Appleton Laboratory.
data/interim/pdfs/Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,Microstructure__precipitate_and_property_evolution_in_cold-rolled_Ti-V_high_strength_low_alloy_steel.pdf,10.1016/j.matdes.2020.108720,materials science / steel microstructure,"To quantify precipitate evolution, microstructure changes, and hardness during annealing of cold-rolled Ti-V HSLA steel using complementary experimental techniques.",equipment_extracted,,electromagnet,3473-70 GMW electromagnet,GMW,3473-70,other,supporting,Electromagnet used to apply a transverse magnetic field during SANS measurements.,magnetic field generation | neutron scattering experiments,magnetic field conditions,Used to generate a 1.65 T field perpendicular to the neutron beam during SANS to saturate specimens and separate nuclear and magnetic scattering.,SANS measurements on steel specimens,,,True,explicit,0.96,"A 3473-70 GMW electromagnet is used to generate a transversal magnetic ﬁeld of 1.65 T, perpendicular to the neutron beam. | This strong magnetic ﬁeld is necessary to magnetically saturate the specimens",main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,tube oven,Nabertherm RHTH 120/300/16 tube oven,Nabertherm,RHTH 120/300/16,reactor system,primary,High-temperature tube furnace used for solid-state annealing of precursor powders.,powder calcination | solid-state synthesis | heat treatment under controlled atmosphere,annealed powder products | phase transformation via thermal treatment,Used to anneal CuO and Nb2O5 mixtures to produce monoclinic and orthorhombic copper niobate powders.,CuO and Nb2O5 precursor powders,,,True,explicit,0.98,"the crucible was placed in a Nabertherm RHTH 120/300/16 tube oven | The monoclinic phase was produced at 700 °C for 12 hours, the orthorhombic phase at 1100 °C for 4 hours",main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,multichannel potentiostat,VMP-300,BioLogic,VMP-300,electrochemistry,primary,Instrument for cyclic voltammetry and galvanostatic electrochemical testing.,cyclic voltammetry | galvanostatic charge/discharge | galvanostatic intermittent titration technique | battery cycling,current-voltage curves | charge/discharge capacity | potential profiles | electrochemical cycling data,"Used to perform CV, GDC, and GITT measurements on copper niobate half-cells versus lithium.",copper niobate electrodes in half-cell battery setup,,,True,explicit,0.99,"The electrochemical measurements (CV, GDC, and GITT) were performed on a multichannel potentiostat (VMP-300, BioLogic) | The electrodes were cycled between 3.0 and 1.0 V vs. Li+/Li",main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,nitrogen physisorption analyzer,Gemini VII,Micromeritics,Gemini VII,surface area analysis,primary,Instrument for BET surface area and gas adsorption measurements.,BET surface area analysis | gas adsorption measurements | porosity characterization,specific surface area | adsorption isotherms,Used to measure the specific surface areas of the synthesized powders.,copper niobate powder samples,,,True,explicit,0.97,"Nitrogen physisorption (BET) measurements were conducted to determine the specific surface area of the produced powders, using a Gemini VII Micromeritics device",main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,scanning electron microscope,Zeiss Merlin HR-SEM | HR-SEM,Zeiss,Merlin,microscopy,primary,High-resolution electron microscope used for imaging surface morphology and microstructure.,microstructure imaging | surface morphology analysis | particle morphology observation,electron micrographs | micro- and nanostructure images,Used to image the precursor and electrode materials and examine their micro- and nanostructure.,synthesized copper niobate powders and electrodes,,,True,explicit,0.99,Scanning electron microscopy was performed in a Zeiss Merlin HR-SEM | Images were taken with the energy-selective backscattered electron detector,main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,synchrotron beamline,Balder beamline,MAX IV Laboratory,,beamline,primary,Synchrotron X-ray beamline used for absorption spectroscopy.,X-ray absorption spectroscopy | XANES measurements | element-specific electronic structure analysis,XANES spectra | absorption edge energies | oxidation state information,Used to collect Cu and Nb K-edge XANES spectra of the copper niobate samples.,pressurized pellet samples of copper niobate powders,MAX IV Laboratory synchrotron light source,,True,explicit,0.99,"Cu K-edge (8978.9 eV) and Nb K-edge (18 985.6 eV) X-ray absorption near edge structure spectra were collected via transmission mode at the Balder beamline | the Balder beamline of the MAX IV Laboratory synchrotron light source in Lund, Sweden",main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,X-ray photoelectron spectroscopy system,Omicron Nanotechnology GmbH surface analysis system | XPS,Omicron Nanotechnology GmbH,,spectroscopy,primary,Surface analysis instrument used to probe elemental oxidation states.,surface chemical state analysis | oxidation state determination | surface composition analysis,photoelectron spectra | binding energy peaks | surface oxidation state information,"Used to study the oxidation states of copper, niobium, and oxygen in the synthesized powders.",pristine copper niobate powder samples,,,True,explicit,0.99,"X-ray photoelectron spectroscopy was performed to study the oxidation states of copper, niobium, and oxygen, using an Omicron Nanotechnology GmbH surface analysis system",main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,X-ray diffractometer,Malvern PANalytical X'Pert PRO | XRD,Malvern PANalytical,X'Pert PRO,diffraction,primary,Instrument for determining crystal structure and phase composition.,powder diffraction | phase identification | lattice parameter determination | Rietveld refinement inputs,XRD patterns | diffraction peak positions | crystal phase information,"Used to study synthesized powders and identify monoclinic, orthorhombic, and mixed phases of copper niobate and related oxides.",synthesized powder samples and phase-optimized compounds,,,True,explicit,0.99,X-ray diffraction experiments were used to study the synthesized powders | Measurements were taken using a Malvern PANalytical X'Pert PRO diffractometer system,main_text,
data/interim/pdfs/Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,Mixed-phase_enabled_high-rate_copper_niobate_anodes_for_lithium-ion_batteries.pdf,10.1039/d4ta07548j,lithium-ion battery materials,To synthesize and evaluate mixed-phase copper niobate anodes for high-rate lithium-ion battery performance.,equipment_extracted,,X-ray fluorescence spectrometer,Bruker S8 Tiger WDXRF | XRF,Bruker,S8 Tiger,spectroscopy,primary,Elemental analysis instrument used to determine sample composition.,elemental composition analysis | stoichiometry determination | bulk elemental quantification,elemental ratios | fluorescence spectra | bulk composition data,"Used to determine the elemental ratio of Cu, Nb, and O in the copper niobate powder.",pristine CuNb2O6 powder,,,True,explicit,0.98,"X-ray fluorescence spectroscopy was performed to determine the elemental ratio of Cu, Nb, and O in the pristine CuNb2O6 powder | XRF was done in a Bruker S8 Tiger WDXRF",main_text,
data/interim/pdfs/Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,10.3389/fmats.2024.1356610,oxide electronics / memristive devices,To demonstrate mixed volatile threshold switching and non-volatile memristive behavior in epitaxial SmNiO3/BaTiO3 device stacks and examine their electrical switching characteristics.,equipment_extracted,,pulsed laser deposition system,PLD,,,fabrication,primary,Thin-film deposition system used to grow epitaxial oxide layers.,epitaxial thin-film growth | oxide heterostructure fabrication | complex oxide materials synthesis,deposited thin films | layer thickness and structure,"Used to grow the SmNiO3, BaTiO3, and Y-doped SrSnO3 layers in the device stacks.",SmNiO3/BaTiO3/Y-SrSnO3 stacks on Nb:SrTiO3 substrates,,,True,explicit,0.99,The present work demonstrates a system consisting of SmNiO3/BaTiO3/Y-SrSnO3 (SNO/BTO/Y-SSO) stacks grown on Nb:SrTiO3 substrates using pulsed laser deposition (PLD) | SNO was grown on an insulating LaAlO3 (110) substrate by PLD.,main_text,
data/interim/pdfs/Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,10.3389/fmats.2024.1356610,oxide electronics / memristive devices,To demonstrate mixed volatile threshold switching and non-volatile memristive behavior in epitaxial SmNiO3/BaTiO3 device stacks and examine their electrical switching characteristics.,equipment_extracted,,atomic force microscope,AFM,,,microscopy,supporting,Surface topography microscope used to inspect film morphology at the nanoscale.,surface roughness characterization | thin-film morphology imaging | nanometer-scale topography measurement,surface topography images | terrace morphology,Used to image the BaTiO3 film surface and confirm smooth terraces.,BaTiO3 film on Y-SSO,,,True,explicit,0.93,Atomic force microscopy of the BTO film depicted in Figure 2A shows excellent surface quality with clearly visible atomic terraces,main_text,
data/interim/pdfs/Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,10.3389/fmats.2024.1356610,oxide electronics / memristive devices,To demonstrate mixed volatile threshold switching and non-volatile memristive behavior in epitaxial SmNiO3/BaTiO3 device stacks and examine their electrical switching characteristics.,equipment_extracted,,piezoforce microscope,PFM | piezoforce microscopy,,,microscopy,supporting,Scanning probe microscope used to map and manipulate ferroelectric polarization.,ferroelectric domain imaging | polarization switching studies | piezoelectric response mapping,polarization/phase contrast images | poled domain response,Used to show that the BaTiO3 films could be poled and had intrinsic downward out-of-plane polarization.,BaTiO3/Y-SSO films,,,True,explicit,0.95,"The films can also be poled using piezoforce microscopy (PFM), which demonstrates that the films have intrinsic downward out-of-plane polarizations",main_text,
data/interim/pdfs/Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,10.3389/fmats.2024.1356610,oxide electronics / memristive devices,To demonstrate mixed volatile threshold switching and non-volatile memristive behavior in epitaxial SmNiO3/BaTiO3 device stacks and examine their electrical switching characteristics.,equipment_extracted,,X-ray diffraction reciprocal space map system,reciprocal space map | X-ray diffraction | RSM,,,imaging,supporting,X-ray diffraction setup used to assess epitaxial orientation and strain state.,epitaxial film characterization | lattice strain analysis | crystallographic orientation assessment,reciprocal space maps | diffraction peak positions,Used to determine the out-of-plane orientation of the BaTiO3 and SmNiO3 layers.,BTO and SNO thin films on STO,,,True,explicit,0.9,An X-ray diffraction reciprocal space map (F) obtained around the (103) STO diffraction peak shows epitaxially grown and well-oriented out-of-plane BTO and SNO.,main_text,
data/interim/pdfs/Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,Mixed_volatility_in_a_single_device__memristive_non-volatile_and_threshold_switching_in_SmNiO3_BaTiO3_devices.pdf,10.3389/fmats.2024.1356610,oxide electronics / memristive devices,To demonstrate mixed volatile threshold switching and non-volatile memristive behavior in epitaxial SmNiO3/BaTiO3 device stacks and examine their electrical switching characteristics.,equipment_extracted,,pulse measurement unit,,,,testing,primary,Electrical pulse source/measurement instrument used for time-dependent switching experiments.,electrical pulse testing | switching dynamics measurement | voltage pulse characterization,pulse response | switching time | current-voltage response,Used to apply voltage pulses during volatile threshold switching experiments in the Pearson–Anson circuit.,SmNiO3/BaTiO3/Y-SrSnO3 device,,,True,explicit,0.88,A pulse measurement unit was used to provide 10-m-long pulses at a DC voltage of +3.4 V,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,Bruker AV400 MHz spectrometer,Bruker AV400 MHz,Bruker,AV400,spectroscopy,primary,Nuclear magnetic resonance spectrometer for molecular structure characterization.,"1H, 13C, and 19F NMR spectroscopy | structural verification of synthesized polymers and small molecules",NMR spectra | chemical shift assignments,"Used to record 1H, 13C, and 19F NMR spectra of synthesized compounds.","synthetic polymers and monomer-derived compounds in CDCl3, DMSO-d6, or D2O",,,True,explicit,0.99,"1H, 13C, and 19F nuclear magnetic resonance spectra were performed on a Bruker AV400 MHz spectrometer | with CDCl3, DMSO-d6, or D2O as a solvent",main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,Gel permeation chromatography system,GPC | Agilent Technologies 1200 system | Agilent 1200 infinity II,Agilent Technologies,1200 system / 1200 infinity II,chromatography,primary,Chromatography system used to determine polymer molecular weight distributions.,polymer molecular weight analysis | molecular weight distribution characterization,chromatograms | molecular weight distributions | RI detector signals,Used for organic and aqueous gel permeation chromatography measurements of the synthesized polymers.,polymer samples in DMF/THF or aqueous eluent,,,True,explicit,0.98,Gel permeation chromatography (GPC) measurements with organic solvents were performed using a Agilent Technologies 1200 system | GPC analysis with aqueous eluents were carried out at a Agilent Technologies 1200 infinity II,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,Conductometer,Knick 703 conductometer,Knick,703,sensing,supporting,Instrument for measuring solution conductivity.,conductivity measurement of aqueous or solvent samples | monitoring ion removal during washing,conductivity | electrical conductivity readings,Used to measure the conductivity of supernatants during washing of compleximers to verify removal of counterions.,supernatants from compleximer washing cycles,,,True,explicit,0.97,The supernatants obtained from each compleximer washing cycle were subjected to conductivity measurements using a Knick 703 conductometer,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,manual hydraulic press with heated platens,Specac manual hydraulic press,Specac,,mechanical testing,primary,Hot-press used to compress and mold polymer powders into solid samples.,hot pressing of polymer powders | compression molding of thermoplastic-like materials,pressed samples | molded solid specimens,Used to hot-press dry compleximer powders and a reference PEC into cohesive samples for processing and recycling studies.,compleximer powders and soaked PAA-PDADMAC PEC,,,True,explicit,0.99,in a Specac manual hydraulic press equipped with heated platens | Before a pressure of 1.5 tons was applied,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,ball mill,IKA ball milling tube | IKA Laboratory Equipment,IKA,,fabrication,primary,Milling device used to blend ionic liquid plasticizers with polymer powder.,powder blending | mechanochemical mixing of polymers and additives,mixed/plasticized powder | processed composite material,Used to blend ionic liquid plasticizers into S compleximer powder before hot pressing.,S compleximer powder and ionic liquid plasticizers,,,True,explicit,0.95,Pure S compleximer powder was added to a disposable 20 ml ball milling tube (IKA Laboratory Equipment) | The powder was ground in three stages of 3 min with an IKA ULTRA-TURRAX Tube Drive,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,IKA ULTRA-TURRAX Tube Drive,IKA ULTRA-TURRAX Tube Drive,IKA,,fabrication,supporting,High-speed tube drive used to grind and mix powder samples.,high-energy mixing | powder homogenization,mixed ground powder,Used for grinding compleximer powder with stainless steel balls during plasticization and recycling preparation.,"compleximer powder, ionic liquids, stainless steel balls",,,True,explicit,0.93,The powder was ground in three stages of 3 min with an IKA ULTRA-TURRAX Tube Drive at power level 9 | using the IKA ULTRA-TURRAX Tube Drive with 15 stainless steel balls,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,coffee grinder,Blaupunkt FCG701 coffee grinder,Blaupunkt,FCG701,fabrication,supporting,Grinding device used to pre-crush hot-pressed samples into coarse powder before recycling.,coarse grinding | sample pre-processing before milling,coarse powder,Used to pre-grind hot-pressed samples before finer ball milling in the recycling procedure.,hot-pressed compleximer samples,,,True,explicit,0.92,Hot-pressed samples were pre-ground into a coarse powder with a Blaupunkt FCG701 coffee grinder,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,X-ray diffractometer,Bruker diffractometer | wide-angle x-ray diffraction (WAXD),Bruker,,diffraction,primary,Instrument for measuring wide-angle x-ray diffraction patterns.,phase identification | crystallinity assessment | salt crystallite detection,diffraction patterns | peak positions | relative crystallinity information,Used to confirm removal of salt crystals after washing and to analyze compleximer structure by WAXD.,hot-pressed compleximer samples and washed powders,,,True,explicit,0.97,The WAXD studies were conducted using Bruker diffractometer | the characteristic peaks of salt crystals disappeared after washing,main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,scanning electron microscope,SEM | FEI Magellan 400,FEI Electron Optics B.V.,Magellan 400,microscopy,primary,Electron microscope for imaging sample morphology and fracture surfaces.,surface morphology imaging | fracture surface analysis | microstructure observation,electron micrographs | surface morphology images,Used to confirm void formation and microstructural features in hot-pressed compleximer samples.,fractured hot-pressed compleximer samples,Wageningen Electron Microscopy Centre,,True,explicit,0.99,"The changes in turbidity emerge from the formation of voids, which we confirmed by scanning electron microscopy (SEM) | SEM was performed on a FEI Magellan 400",main_text,Access to facility explicitly acknowledged in acknowledgments.
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,sputter coater,Leica EM SCD500,Leica Microsystems,EM SCD500,coating,supporting,Thin-film coating device used to prepare SEM samples for imaging.,conductive coating of microscopy samples | sample preparation for electron microscopy,coated sample surfaces,Used to sputter-coat fractured compleximer surfaces with tungsten before SEM imaging.,fractured compleximer surfaces,,,True,explicit,0.9,"sputter-coated with a 10-nm layer of tungsten (Leica EM SCD500, Leica Microsystems, The Netherlands)",main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,thermogravimetric analyzer,STA 6000 | TGA,PerkinElmer,STA 6000,thermal analysis,primary,Instrument for measuring mass change during heating to assess thermal stability.,thermal stability testing | decomposition analysis | mass-loss profiling,mass vs temperature curves | decomposition temperatures | weight-loss profiles,Used to assess thermal stability of polymers and compleximers and to perform isothermal degradation measurements.,individual polymers and complexes,,,True,explicit,0.99,A STA 6000 from Perkin Elmer was used to determine the thermal stability of the individual polymers and complexes | thermogravimetric analysis (TGA),main_text,
data/interim/pdfs/Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,Moderated_ionic_bonding_for_water-free_recyclable_polyelectrolyte_complex_materials.pdf,10.1126/sciadv.adi3606,materials science / polymer characterization,To develop and characterize water-free recyclable polyelectrolyte complex materials with moderated ionic bonding and tunable processability.,equipment_extracted,,differential scanning calorimeter,TA Instruments DSC25 | DSC,TA Instruments,DSC25,thermal analysis,primary,Instrument for measuring heat flow during programmed temperature changes.,glass transition analysis | melting and crystallization studies | thermal response characterization,heat flow curves | transition temperatures,"Used to probe the thermal response of compleximer samples, pure polymers, and plasticized compleximers.","compleximer samples, pure polymers, and plasticized compleximers",,,True,explicit,0.99,"We used a TA instruments DSC25 to measure the thermal response of compleximer samples, pure polymers, and plasticized compleximers",main_text,
